name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	stein.region
LOTD1	-24.2717	2.25783	-30.1360866133668	-999	LOTD	L	depth	-21.1638	-4.80071	-22.451	Left Ent entorhinal area	entorhinal	Left Amy
LOTD2	-25.8751	-6.64633	-25.860753174902	-999	LOTD	L	depth	-22.6726	-12.8826	-16.7049	Left Hippocampus	n/a	Left CA1
LOTD3	-26.8543	-14.4728	-20.1258660596351	-999	LOTD	L	depth	-23.7909	-19.5662	-10.9397	Left Hippocampus	n/a	Left DG
LOTD4	-26.6392	-22.447	-14.2207596060048	-999	LOTD	L	depth	-24.4591	-26.2504	-5.19765	Left Hippocampus	n/a	Left Sub
LOTD5	-26.9458	-30.9485	-8.14743352684134	-999	LOTD	L	depth	-25.6186	-33.8356	-0.634844	Left Hippocampus	n/a	Left Sub
LOTD6	-28.5009	-38.8162	-2.64372319491877	-999	LOTD	L	depth	-27.1868	-40.5032	5.45064	Left Hippocampus	n/a	Left CA1
LOTD7	-29.7917	-46.3763	-1.06160076556592	-999	LOTD	L	depth	-27.4463	-48.0704	10.36	Left Lateral Ventricle	lingual	n/a
LOTD8	-32.656	-52.2613	6.26979669557412	-999	LOTD	L	depth	-28.9748	-55.6603	16.6312	Left Lateral Ventricle	n/a	n/a
LOTD9	-32.7974	-63.1594	15.0500659839067	-999	LOTD	L	depth	-29.2145	-63.694	21.5229	Left Cerebral White Matter	inferiorparietal	n/a
LOTD10	-33.2898	-74.379	23.9408907283549	-999	LOTD	L	depth	-30.7432	-71.2839	27.7941	Left Cerebral White Matter	inferiorparietal	n/a
LOTD11	-34.4755	-80.1376	28.1165377498837	-999	LOTD	L	depth	-31.0422	-77.9177	32.7388	Left MOG middle occipital gyrus	inferiorparietal	n/a
LOTD12	-36.5506	-87.1086	32.4672237220382	-999	LOTD	L	depth	-32.5708	-85.5076	39.01	n/a	inferiorparietal	n/a
ROTD1	25.3616	-5.05426	-31.6573720294463	-999	ROTD	R	depth	25.0511	-10.5154	-23.819	Right PHG parahippocampal gyrus	n/a	n/a
ROTD2	27.6722	-11.6351	-24.2652130721076	-999	ROTD	R	depth	27.1236	-16.3032	-17.0141	Right Hippocampus	n/a	Right CA1
ROTD3	29.4315	-19.1394	-19.3453534779518	-999	ROTD	R	depth	28.6457	-21.5923	-11.346	Right Hippocampus	n/a	Right CA1
ROTD4	29.4965	-27.7738	-12.5589732571326	-999	ROTD	R	depth	29.3274	-28.2791	-5.67379	Right Hippocampus	n/a	Right CA1
ROTD5	32.7076	-39.3131	-5.80065340988929	-999	ROTD	R	depth	31.0491	-36.3983	1.08353	Right Hippocampus	n/a	Right CA1
ROTD6	34.7236	-47.9709	-0.703684232467156	-999	ROTD	R	depth	31.7307	-43.0632	7.19267	Right Cerebral White Matter	n/a	n/a
ROTD7	33.8951	-55.2959	6.73243226785295	-999	ROTD	R	depth	31.4529	-48.3229	13.476	Right Cerebral White Matter	n/a	n/a
ROTD8	33.6164	-62.3164	17.1269776664086	-999	ROTD	R	depth	32.1757	-54.0769	20.9761	Right Cerebral White Matter	inferiorparietal	n/a
ROTD9	33.8068	-68.9466	23.4817312524206	-999	ROTD	R	depth	32.8573	-60.7384	27.1554	Right Cerebral White Matter	inferiorparietal	n/a
ROTD10	34.5052	-76.0943	28.9824950643653	-999	ROTD	R	depth	33.6196	-67.4255	34.6201	Right Cerebral White Matter	inferiorparietal	n/a
ROTD11	36.1079	-81.9964	36.4684441609075	-999	ROTD	R	depth	35.2819	-74.1146	42.0339	Right MOG middle occipital gyrus	inferiorparietal	n/a
ROTD12	34.4095	-86.4624	41.6508166150198	-999	ROTD	R	depth	35.9041	-79.3762	48.2663	n/a	inferiorparietal	n/a
LTS1	-49.3368	-7.23457	-48.1351732286288	-999	LTS	L	strip	-46.6942	-15.6354	-33.2286	n/a	inferiortemporal	n/a
LTS2	-58.4449	-15.3764	-39.0025748278824	-999	LTS	L	strip	-54.8226	-19.9112	-29.3919	n/a	inferiortemporal	n/a
LTS3	-64.0189	-15.6959	-35.2532142057902	-999	LTS	L	strip	-61.4792	-23.3194	-23.2486	Left ITG inferior temporal gyrus	inferiortemporal	n/a
LTS4	-69.9232	-23.1698	-25.355465748281	-999	LTS	L	strip	-67.2542	-24.4284	-15.9069	Left MTG middle temporal gyrus	inferiortemporal	n/a
