name	x	y	z	size	group	hemisphere	type	ind.region	stein.region
LM1	-3.88983	18.6335	46.389982062862	-999	LM	L	depth	superiorfrontal	n/a
LM2	-5.99066	18.822	48.5925384784706	-999	LM	L	depth	superiorfrontal	n/a
LM3	-9.21095	19.4729	49.7637069370411	-999	LM	L	depth	superiorfrontal	n/a
LM4	-12.0605	21.6673	50.4435925584854	-999	LM	L	depth	superiorfrontal	n/a
LM5	-14.9738	25.1498	51.5921601311539	-999	LM	L	depth	superiorfrontal	n/a
LM6	-18.4627	25.8991	52.6248241777358	-999	LM	L	depth	superiorfrontal	n/a
LM7	-22.5928	25.8826	53.2099715493215	-999	LM	L	depth	superiorfrontal	n/a
LM8	-26.7705	26.5657	54.8313517110973	-999	LM	L	depth	superiorfrontal	n/a
LK1	-1.38346	3.26071	64.450076889813	-999	LK	L	depth	superiorfrontal	n/a
LK2	-5.76219	4.5092	64.8762525308425	-999	LK	L	depth	superiorfrontal	n/a
LK3	-11.3697	5.52726	65.0410730236258	-999	LK	L	depth	superiorfrontal	n/a
LK4	-14.016	6.17714	63.588763140588	-999	LK	L	depth	superiorfrontal	n/a
LK5	-16.9053	7.04054	61.6986561166655	-999	LK	L	depth	superiorfrontal	n/a
LK6	-19.7376	7.71487	60.3825821823177	-999	LK	L	depth	superiorfrontal	n/a
LK7	-23.5818	8.06305	60.1543335484683	-999	LK	L	depth	superiorfrontal	n/a
LK8	-27.2683	9.69136	59.0510908091721	-999	LK	L	depth	superiorfrontal	n/a
LK9	-30.6128	9.93209	58.9727286865284	-999	LK	L	depth	caudalmiddlefrontal	n/a
LK10	-34.9263	10.7898	59.0449422191444	-999	LK	L	depth	caudalmiddlefrontal	n/a
LZ1	-3.75984	-19.5993	63.4528870488778	-999	LZ	L	depth	paracentral	n/a
LZ2	-10.5166	-18.3628	65.0621551748913	-999	LZ	L	depth	paracentral	n/a
LZ3	-16.6819	-17.5128	66.303527593444	-999	LZ	L	depth	superiorfrontal	n/a
LZ4	-20.5298	-17.163	67.8909162467224	-999	LZ	L	depth	superiorfrontal	n/a
LZ5	-23.3341	-17.2374	67.5901105891947	-999	LZ	L	depth	precentral	n/a
LZ6	-25.7167	-17.7613	66.800679635627	-999	LZ	L	depth	precentral	n/a
LZ7	-27.6493	-18.7395	66.051674607119	-999	LZ	L	depth	precentral	n/a
LZ8	-30.4246	-18.7794	65.1155900022667	-999	LZ	L	depth	precentral	n/a
LZ9	-33.2209	-19.5362	63.5425806310847	-999	LZ	L	depth	precentral	n/a
LZ10	-37.2243	-20.5288	61.8514505151354	-999	LZ	L	depth	precentral	n/a
LZ11	-42.0425	-20.7995	60.9165089252073	-999	LZ	L	depth	precentral	n/a
LZ12	-46.9571	-22.5754	58.6391183557617	-999	LZ	L	depth	precentral	n/a
LV1	-30.0486	-12.5154	47.5310375487748	-999	LV	L	depth	precentral	n/a
LV2	-32.1148	-12.7777	46.8279118980459	-999	LV	L	depth	precentral	n/a
LV3	-34.4947	-12.7033	44.0476384999115	-999	LV	L	depth	precentral	n/a
LV4	-37.924	-12.1245	41.663514634243	-999	LV	L	depth	precentral	n/a
LV5	-42.4383	-11.8136	38.603643838276	-999	LV	L	depth	precentral	n/a
LV6	-46.7865	-10.204	35.7833654830439	-999	LV	L	depth	precentral	n/a
LV7	-51.5776	-8.30245	36.0048229055041	-999	LV	L	depth	precentral	n/a
LV8	-54.459	-4.99993	35.9913013902565	-999	LV	L	depth	precentral	n/a
LV9	-57.2823	-1.68589	35.0526165049535	-999	LV	L	depth	precentral	n/a
LS1	1.43273	-27.9194	66.1715240794947	-999	LS	R	depth	paracentral	n/a
LS2	-1.80811	-26.278	68.3524356003134	-999	LS	L	depth	paracentral	n/a
LS3	-7.68291	-26.3384	70.5712965735123	-999	LS	L	depth	paracentral	n/a
LS4	-13.6333	-26.3718	71.8014010910581	-999	LS	L	depth	paracentral	n/a
LS5	-18.0787	-24.95	73.1491983969984	-999	LS	L	depth	paracentral	n/a
LS6	-21.5942	-26.5616	73.2020064590246	-999	LS	L	depth	postcentral	n/a
LS7	-24.48	-28.4183	72.4638355196708	-999	LS	L	depth	postcentral	n/a
LS8	-27.7509	-30.2108	70.9084039042201	-999	LS	L	depth	postcentral	n/a
LS9	-31.8642	-31.8237	69.9446114054535	-999	LS	L	depth	postcentral	n/a
LS10	-37.0421	-35.3008	66.9813391428543	-999	LS	L	depth	precentral	n/a
LS11	-42.0921	-34.929	65.4807609769582	-999	LS	L	depth	precentral	n/a
LS12	-45.504	-33.7379	64.8371059200214	-999	LS	L	depth	precentral	n/a
LQ1	-6.15299	36.4029	12.3649289418937	-999	LQ	L	depth	rostralanteriorcingulate	Left ACg
LQ2	-8.65521	36.6689	13.4429662425379	-999	LQ	L	depth	rostralanteriorcingulate	Left ACg
LQ4	-12.7513	38.8086	18.2805501993959	-999	LQ	L	depth	superiorfrontal	n/a
LQ5	-15.1266	40.1907	22.617579644789	-999	LQ	L	depth	superiorfrontal	n/a
LQ6	-17.6836	40.7843	25.5706997745023	-999	LQ	L	depth	rostralmiddlefrontal	n/a
LQ7	-20.6748	40.9389	28.9219098791862	-999	LQ	L	depth	rostralmiddlefrontal	n/a
LQ8	-24.5034	42.9819	33.550656622927	-999	LQ	L	depth	rostralmiddlefrontal	n/a
LX1	-1.59517	-48.0877	25.4897046141271	-999	LX	L	depth	isthmuscingulate	Left PCg
LX2	-6.00201	-48.7145	24.3637265138473	-999	LX	L	depth	isthmuscingulate	Left PCg
LX12	-48.6504	-45.8256	20.8804209153586	-999	LX	L	depth	inferiorparietal	n/a
LX13	-54.2359	-45.645	21.5860793364893	-999	LX	L	depth	inferiorparietal	n/a
LX14	-60.9402	-45.6769	21.1329135055973	-999	LX	L	depth	supramarginal	n/a
LX15	-65.262	-46.1719	21.4312123883073	-999	LX	L	depth	supramarginal	n/a
LX16	-68.7285	-46.9326	20.9847056773986	-999	LX	L	depth	supramarginal	n/a
LU1	-44.5278	-45.7701	0.873075929753796	-999	LU	L	depth	bankssts	n/a
LU2	-48.3848	-44.8086	2.23077710860373	-999	LU	L	depth	bankssts	n/a
LU3	-54.0402	-43.3146	5.55185882059028	-999	LU	L	depth	bankssts	n/a
LU4	-59.0273	-43.002	7.57394089075614	-999	LU	L	depth	bankssts	n/a
LU5	-63.7809	-41.9723	8.87167577883509	-999	LU	L	depth	bankssts	n/a
LU6	-67.857	-42.3665	8.16206506396618	-999	LU	L	depth	superiortemporal	n/a
LI1	-24.2276	6.13864	-42.4255760052215	-999	LI	L	depth	temporalpole	n/a
LI2	-27.7449	6.86695	-39.9278113623735	-999	LI	L	depth	temporalpole	n/a
LI3	-31.4424	5.49503	-40.4890728989324	-999	LI	L	depth	temporalpole	n/a
LI4	-36.6517	5.76974	-41.29783807229	-999	LI	L	depth	middletemporal	n/a
LI5	-42.8153	7.35025	-41.8669867680189	-999	LI	L	depth	middletemporal	n/a
LI6	-48.653	12.0575	-41.0996342412037	-999	LI	L	depth	middletemporal	n/a
LI7	-52.7117	14.3048	-38.7247922890645	-999	LI	L	depth	middletemporal	n/a
LI8	-57.038	14.8202	-35.641822904757	-999	LI	L	depth	middletemporal	n/a
LA1	-23.383	2.28008	-27.1699465732027	-999	LA	L	depth	insula	Left Amy
LA2	-28.0511	1.45338	-28.0917867928068	-999	LA	L	depth	insula	Left Amy
LA3	-33.0096	0.26783	-28.8562032096326	-999	LA	L	depth	insula	n/a
LA4	-38.724	-0.556138	-29.0650506724002	-999	LA	L	depth	insula	n/a
LA5	-43.52	-0.102546	-27.1330559619617	-999	LA	L	depth	middletemporal	n/a
LA6	-48.7243	0.489071	-25.3825906670544	-999	LA	L	depth	middletemporal	n/a
LA7	-54.1288	-0.671605	-26.0027984046713	-999	LA	L	depth	middletemporal	n/a
LA8	-60.3553	-2.33686	-27.8249077845904	-999	LA	L	depth	middletemporal	Left Middle Temporal Gyrus
LA9	-64.8536	-4.15687	-29.9338278409174	-999	LA	L	depth	middletemporal	n/a
LB1	-28.8037	-11.3376	-22.8196554231736	-999	LB	L	depth	insula	Left DG
LB2	-33.8578	-12.6539	-23.7454541579348	-999	LB	L	depth	insula	Left CA1
LB3	-38.6865	-12.7947	-21.6103941624767	-999	LB	L	depth	insula	n/a
LB4	-43.5989	-13.7819	-19.794039354342	-999	LB	L	depth	insula	n/a
LB5	-48.4636	-14.5612	-19.0510293671494	-999	LB	L	depth	middletemporal	n/a
LB6	-54.9593	-14.6796	-19.4929587196476	-999	LB	L	depth	middletemporal	n/a
LB7	-61.6325	-15.4142	-19.9777150352684	-999	LB	L	depth	middletemporal	n/a
LB8	-67.3103	-15.8975	-18.305587887306	-999	LB	L	depth	middletemporal	Left Middle Temporal Gyrus
LC1	-28.2424	-31.2687	-12.3802578552023	-999	LC	L	depth	fusiform	Left CA1
LC2	-33.2754	-31.8633	-12.2645277179088	-999	LC	L	depth	insula	Left CA1
LC3	-36.8268	-32.1745	-11.8821064081138	-999	LC	L	depth	insula	n/a
LC4	-41.6146	-33.6672	-13.302690641088	-999	LC	L	depth	insula	n/a
LC5	-47.0184	-34.3311	-13.1986155201065	-999	LC	L	depth	middletemporal	n/a
LC6	-53.1691	-34.1925	-15.5079852145627	-999	LC	L	depth	inferiortemporal	n/a
LC7	-61.2277	-32.0828	-14.0932596126597	-999	LC	L	depth	middletemporal	n/a
LC8	-67.9014	-31.8367	-12.1561694415678	-999	LC	L	depth	middletemporal	Left Middle Temporal Gyrus
LC9	-72.7675	-32.8313	-11.965702770688	-999	LC	L	depth	middletemporal	Left Middle Temporal Gyrus
LF1	-23.8712	-51.4457	-9.71952231435483	-999	LF	L	depth	lingual	n/a
LF2	-29.7276	-52.3743	-11.6942399478703	-999	LF	L	depth	fusiform	n/a
LF3	-34.3247	-53.4442	-13.8438528991702	-999	LF	L	depth	fusiform	n/a
LF4	-38.3374	-53.9264	-14.4129110409786	-999	LF	L	depth	fusiform	n/a
LF5	-44.4975	-53.9117	-14.0198697173071	-999	LF	L	depth	inferiortemporal	n/a
LF6	-51.0973	-50.6238	-13.648980801992	-999	LF	L	depth	inferiortemporal	n/a
LF7	-59.0415	-47.8905	-12.5618869373975	-999	LF	L	depth	middletemporal	Left Middle Temporal Gyrus
LF8	-66.8716	-47.6703	-10.1613467204674	-999	LF	L	depth	middletemporal	Left Middle Temporal Gyrus
LF9	-71.5827	-46.2573	-8.17940762881266	-999	LF	L	depth	middletemporal	n/a
LT1	-40.1449	3.98311	-6.7271987376609	-999	LT	L	depth	insula	n/a
LT2	-46.176	3.88757	-7.27263302567413	-999	LT	L	depth	insula	n/a
LT3	-49.8891	2.86734	-7.35760355869614	-999	LT	L	depth	superiortemporal	n/a
LT4	-54.885	3.04062	-7.49396547824711	-999	LT	L	depth	superiortemporal	n/a
LT5	-58.5499	2.65844	-7.23964556682243	-999	LT	L	depth	superiortemporal	n/a
LT6	-62.4485	3.11423	-5.37532544565221	-999	LT	L	depth	superiortemporal	n/a
LT7	-66.0144	2.01834	-4.21305558265574	-999	LT	L	depth	superiortemporal	n/a
