name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	stein.region
LA1	-26.8169	-5.56074	-20.7185743868205	-999	LA	L	depth	-25.2779	-8.46512	-13.3026	Left Hippocampus	n/a	Left CA1
LA2	-28.5401	-4.473	-21.0983650001269	-999	LA	L	depth	-27.366	-7.32497	-13.3273	Left Amygdala	n/a	Left Amy
LA3	-34.4124	-2.79005	-23.261706373572	-999	LA	L	depth	-32.6952	-6.04832	-14.718	Left Cerebral White Matter	n/a	n/a
LA4	-38.8522	-1.37979	-22.7769501720587	-999	LA	L	depth	-36.3741	-4.81818	-14.7391	Left Cerebral White Matter	n/a	n/a
LA5	-41.8306	-0.333081	-22.239536074117	-999	LA	L	depth	-39.5227	-3.61806	-14.7614	Left Cerebral White Matter	superiortemporal	n/a
LA6	-46.2904	1.453	-21.4533270005656	-999	LA	L	depth	-43.7616	-2.37963	-15.4679	Left Cerebral White Matter	superiortemporal	n/a
LA7	-50.3269	2.77585	-20.8484961752921	-999	LA	L	depth	-46.9102	-1.17951	-15.4902	Left MTG middle temporal gyrus	superiortemporal	Left Middle Temporal Gyrus
LA8	-54.0728	3.75791	-20.9456124771965	-999	LA	L	depth	-50.0588	0.0206052	-15.5125	Left MTG middle temporal gyrus	middletemporal	Left Middle Temporal Gyrus
LA9	-59.01	5.25838	-21.0064970129305	-999	LA	L	depth	-54.2976	1.25903	-16.219	Left MTG middle temporal gyrus	middletemporal	Left Middle Temporal Gyrus
LA10	-61.8544	6.09463	-21.0410758315102	-999	LA	L	depth	-57.4461	2.45915	-16.2413	Left MTG middle temporal gyrus	middletemporal	Left Middle Temporal Gyrus
LA11	-64.5607	6.74837	-21.430076071549	-999	LA	L	depth	-61.1085	4.19928	-16.2771	n/a	middletemporal	n/a
LA12	-66.1537	7.27095	-21.651787070471	-999	LA	L	depth	-63.1966	5.33943	-16.3018	n/a	middletemporal	n/a
LH1	-26.3117	-14.2202	-15.3642642868013	-999	LH	L	depth	-24.2391	-15.5144	-8.29304	Left Hippocampus	n/a	Left CA3
LH2	-29.9189	-13.9829	-15.6792152682114	-999	LH	L	depth	-27.4206	-15.3345	-8.2859	Left Hippocampus	n/a	Left CA3
LH3	-34.1751	-13.4157	-16.234307793252	-999	LH	L	depth	-31.6927	-15.1163	-8.96288	Left Hippocampus	n/a	Left CA1
LH4	-37.2583	-13.2349	-16.3249920912881	-999	LH	L	depth	-34.8742	-14.9363	-8.95574	Left Hippocampus	n/a	Left CA1
LH5	-42.0947	-12.9368	-18.2312973638958	-999	LH	L	depth	-39.7063	-14.7099	-10.3181	Left Cerebral White Matter	n/a	n/a
LH6	-44.3395	-12.6317	-18.2432792073709	-999	LH	L	depth	-42.8878	-14.5299	-10.311	Left Cerebral White Matter	superiortemporal	n/a
LH7	-47.1565	-11.8267	-18.0915904434972	-999	LH	L	depth	-47.1299	-14.29	-10.3015	Left Cerebral White Matter	superiortemporal	n/a
LH8	-50.4819	-11.0903	-18.4753776658285	-999	LH	L	depth	-50.3413	-14.1318	-10.9808	Left MTG middle temporal gyrus	superiortemporal	Left Middle Temporal Gyrus
LH9	-56.0561	-10.2517	-17.5482379729259	-999	LH	L	depth	-54.5834	-13.8919	-10.9713	Left MTG middle temporal gyrus	middletemporal	Left Middle Temporal Gyrus
LH10	-60.0375	-10.0449	-16.8559920902081	-999	LH	L	depth	-57.7649	-13.7118	-10.9642	Left MTG middle temporal gyrus	middletemporal	Left Middle Temporal Gyrus
LH11	-65.5596	-10.6661	-15.8546834691561	-999	LH	L	depth	-62.5372	-13.442	-10.9535	Left MTG middle temporal gyrus	middletemporal	Left Middle Temporal Gyrus
LH12	-70.4471	-11.7981	-15.9410381591121	-999	LH	L	depth	-66.7794	-13.2021	-10.9439	Left MTG middle temporal gyrus	middletemporal	Left Middle Temporal Gyrus
LO1	-6.50061	37.529	-5.85760448534668	-999	LO	L	depth	-3.36373	37.9418	3.62787	Left ACgG anterior cingulate gyrus	rostralanteriorcingulate	Left ACg
LO2	-9.4382	38.2153	-6.63528849965492	-999	LO	L	depth	-6.57205	39.0922	2.10532	Left Cerebral White Matter	rostralanteriorcingulate	n/a
LO3	-12.3054	37.6796	-6.6116039159057	-999	LO	L	depth	-9.78349	39.2472	1.36216	Left ACgG anterior cingulate gyrus	rostralanteriorcingulate	Left ACg
LO4	-16.4048	36.7791	-5.65171363200344	-999	LO	L	depth	-13.4953	39.4572	1.37235	Left Cerebral White Matter	rostralanteriorcingulate	n/a
LO5	-19.6804	37.2961	-6.27293434586313	-999	LO	L	depth	-16.7037	40.6075	-0.150153	Left Cerebral White Matter	rostralanteriorcingulate	n/a
LO6	-24.3889	36.474	-5.85967673234351	-999	LO	L	depth	-20.9755	40.8226	-0.890445	Left Cerebral White Matter	lateralorbitofrontal	n/a
LO7	-28.1909	35.9568	-5.69049730049995	-999	LO	L	depth	-24.1571	41.0026	-0.88177	Left Cerebral White Matter	lateralorbitofrontal	n/a
LO8	-33.2632	35.3087	-7.15619280945829	-999	LO	L	depth	-28.4589	41.1941	-2.34689	Left Cerebral White Matter	parstriangularis	n/a
LO9	-38.9602	34.9349	-7.21831530874825	-999	LO	L	depth	-32.701	41.434	-2.33735	Left Cerebral White Matter	parstriangularis	n/a
LO10	-42.4688	36.1576	-8.7039770403224	-999	LO	L	depth	-36.4097	42.6424	-3.04502	Left Cerebral White Matter	parstriangularis	n/a
LO11	-46.4827	36.1299	-9.13392034571436	-999	LO	L	depth	-40.6518	42.8823	-3.03549	Left Cerebral White Matter	parstriangularis	n/a
LO12	-49.1491	36.5487	-9.34606876063569	-999	LO	L	depth	-43.8333	43.0623	-3.02835	Left Cerebral White Matter	parstriangularis	n/a
LO13	-52.9634	37.5412	-8.98483267061563	-999	LO	L	depth	-48.0754	43.3022	-3.01881	Left Cerebral White Matter	parstriangularis	n/a
LO14	-56.529	38.8288	-9.47494456071616	-999	LO	L	depth	-52.3472	43.5204	-3.69583	Left OrIFG orbital part of the inferior frontal gyrus	parstriangularis	n/a
RA1	15.7845	-2.51204	-22.1837850080102	-999	RA	R	depth	16.2471	-5.70334	-13.5428	Right Amygdala	n/a	Right Amy
RA2	18.5743	-3.53246	-22.2331562590077	-999	RA	R	depth	19.3957	-6.90347	-13.5205	Right Amygdala	n/a	Right Amy
RA3	21.3515	-3.7425	-22.5506822783595	-999	RA	R	depth	22.5772	-7.08343	-13.5278	Right Amygdala	n/a	Right Amy
RA4	25.217	-4.25846	-22.7457499090419	-999	RA	R	depth	26.8193	-7.32336	-13.5373	Right Amygdala	n/a	Right Amy
RA5	28.2522	-4.59766	-22.7111179423857	-999	RA	R	depth	30.0009	-7.50332	-13.5444	Right Amygdala	n/a	Right Amy
RA6	33.4086	-3.63307	-23.0236857871782	-999	RA	R	depth	34.8061	-6.75302	-13.5846	Right Cerebral White Matter	n/a	n/a
RA7	36.4028	-4.08907	-24.8882370967186	-999	RA	R	depth	37.9279	-6.97638	-14.9648	Right Cerebral White Matter	n/a	n/a
RA8	39.2327	-4.3364	-24.6789613956155	-999	RA	R	depth	41.1095	-7.15634	-14.9719	Right Cerebral White Matter	n/a	n/a
