name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	stein.region
RC1	25.509	-32.9507	-20.3220363933334	-999	RC	R	depth	29.6862	-26.3781	-14.1611	Right FuG fusiform gyrus	inferiortemporal	n/a
RC2	26.4827	-35.5339	-19.2099851244528	-999	RC	R	depth	31.1572	-28.9756	-13.7455	Right FuG fusiform gyrus	inferiortemporal	n/a
RC3	28.2447	-39.0952	-17.5884350712405	-999	RC	R	depth	33.0367	-32.17	-12.4202	Right FuG fusiform gyrus	inferiortemporal	n/a
RC4	30.0821	-42.0355	-16.6134251484999	-999	RC	R	depth	34.9636	-34.9405	-11.3882	Right Cerebral White Matter	inferiortemporal	n/a
RC5	32.2462	-44.382	-15.5397885938552	-999	RC	R	depth	37.4162	-36.7608	-10.0385	Right Cerebral White Matter	inferiortemporal	n/a
RC6	34.1708	-48.7196	-15.1863524315298	-999	RC	R	depth	39.3459	-40.5067	-9.28891	Right Cerebral White Matter	inferiortemporal	n/a
RC7	35.5993	-50.4764	-13.9533908779269	-999	RC	R	depth	40.2604	-41.828	-8.33835	Right Cerebral White Matter	inferiortemporal	n/a
RC8	37.6709	-54.7261	-13.3407999232863	-999	RC	R	depth	42.165	-45.2981	-7.30083	Right Cerebral White Matter	inferiortemporal	n/a
RC9	39.7369	-58.2492	-13.566145958972	-999	RC	R	depth	44.6203	-48.0938	-6.23358	Right Cerebral White Matter	inferiortemporal	n/a
RC10	42.9867	-62.1927	-12.2278687341734	-999	RC	R	depth	46.4998	-51.2881	-4.90826	Right FuG fusiform gyrus	inferiortemporal	n/a
RC11	45.6631	-64.2033	-10.9366849042901	-999	RC	R	depth	47.4171	-53.5848	-4.24004	Right Cerebral White Matter	inferiortemporal	n/a
RC12	50.2056	-66.8526	-9.91496795562886	-999	RC	R	depth	50.426	-56.6812	-3.42548	Right FuG fusiform gyrus	inferiortemporal	n/a
RC13	51.8173	-69.9494	-9.00860774969408	-999	RC	R	depth	51.7771	-59.8504	-2.13534	Right ITG inferior temporal gyrus	inferiortemporal	n/a
RC14	54.1413	-72.258	-8.939360199863	-999	RC	R	depth	53.7514	-62.1973	-1.39667	Right IOG inferior occipital gyrus	inferiortemporal	n/a
RG1	49.6587	-21.4316	-28.7824040760575	-999	RG	R	depth	56.5507	-15.6974	-22.1354	Right ITG inferior temporal gyrus	middletemporal	n/a
RG2	48.1406	-22.6856	-25.8932709865215	-999	RG	R	depth	56.2857	-16.5649	-20.0983	Right Cerebral White Matter	middletemporal	n/a
RG3	46.4602	-26.4033	-22.3022094887338	-999	RG	R	depth	55.8561	-19.4032	-17.1755	Right Cerebral White Matter	middletemporal	n/a
RG4	44.3527	-28.3824	-20.1956742044079	-999	RG	R	depth	54.5118	-20.92	-15.2033	Right ITG inferior temporal gyrus	middletemporal	n/a
RG5	44.3406	-30.5965	-17.683769838047	-999	RG	R	depth	54.177	-22.9108	-12.8671	Right ITG inferior temporal gyrus	middletemporal	n/a
RG6	45.1228	-31.7229	-14.8750376775819	-999	RG	R	depth	53.8646	-24.2022	-10.5366	Right ITG inferior temporal gyrus	middletemporal	n/a
RG7	45.9059	-34.069	-11.1398913372641	-999	RG	R	depth	52.378	-26.9903	-7.68424	Right MTG middle temporal gyrus	middletemporal	n/a
RG8	46.5445	-35.8108	-8.33629670343661	-999	RG	R	depth	52.0907	-28.5574	-5.6416	Right Cerebral White Matter	superiortemporal	n/a
RG9	45.6574	-38.913	-4.24896173048003	-999	RG	R	depth	51.1327	-31.3705	-2.75393	Right Cerebral White Matter	middletemporal	n/a
