onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	41.341	2430585	SESS_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	1	R1068J
41.341	10.428	2471925	COUNTDOWN_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	1	R1068J
51.769	3.724	2482353	COUNTDOWN_END	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	1	R1068J
55.493	2.601	2486077	PRACTICE_WORD	n/a	n/a	ATTIC	1	-1	[0, 0, 0]	n/a	FR1	1	R1068J
58.094	2.582	2488678	PRACTICE_WORD	n/a	n/a	RING	2	-1	[0, 0, 0]	n/a	FR1	1	R1068J
60.676	2.585	2491260	PRACTICE_WORD	n/a	n/a	WATCH	3	-1	[0, 0, 0]	n/a	FR1	1	R1068J
63.261	2.433	2493845	PRACTICE_WORD	n/a	n/a	WAGON	4	-1	[0, 0, 0]	n/a	FR1	1	R1068J
65.694	2.418	2496278	PRACTICE_WORD	n/a	n/a	FLOOD	5	-1	[0, 0, 0]	n/a	FR1	1	R1068J
68.112	2.417	2498696	PRACTICE_WORD	n/a	n/a	CAMEL	6	-1	[0, 0, 0]	n/a	FR1	1	R1068J
70.529	2.4	2501113	PRACTICE_WORD	n/a	n/a	RHINO	7	-1	[0, 0, 0]	n/a	FR1	1	R1068J
72.929	2.417	2503513	PRACTICE_WORD	n/a	n/a	COTTON	8	-1	[0, 0, 0]	n/a	FR1	1	R1068J
75.346	2.383	2505930	PRACTICE_WORD	n/a	n/a	CHEST	9	-1	[0, 0, 0]	n/a	FR1	1	R1068J
77.729	2.501	2508313	PRACTICE_WORD	n/a	n/a	BEAM	10	-1	[0, 0, 0]	n/a	FR1	1	R1068J
80.23	2.466	2510813	PRACTICE_WORD	n/a	n/a	IRON	11	-1	[0, 0, 0]	n/a	FR1	1	R1068J
82.696	1.618	2513279	PRACTICE_WORD	n/a	n/a	TONGUE	12	-1	[0, 0, 0]	n/a	FR1	1	R1068J
84.314	0.0	2514897	PRACTICE_DISTRACT_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	1	R1068J
84.314	0.017	2514897	START	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	FR1	1	R1068J
84.331	7.366	2514914	PROB	7.366	n/a	n/a	-999	-1	[5, 1, 9]	15	FR1	1	R1068J
91.697	2.868	2522280	PROB	2.868	n/a	n/a	-999	-1	[2, 2, 7]	11	FR1	1	R1068J
94.565	5.001	2525148	PROB	5.001	n/a	n/a	-999	-1	[7, 4, 7]	18	FR1	1	R1068J
99.566	3.601	2530149	PROB	3.601	n/a	n/a	-999	-1	[4, 3, 9]	16	FR1	1	R1068J
103.167	5.425	2533750	PROB	5.425	n/a	n/a	-999	-1	[1, 1, 5]	7	FR1	1	R1068J
108.592	0.009	2539175	STOP	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	FR1	1	R1068J
108.601	0.536	2539184	PRACTICE_DISTRACT_END	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	1	R1068J
109.137	30.514	2539720	PRACTICE_REC_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	1	R1068J
139.651	11.59	2570233	PRACTICE_REC_END	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	1	R1068J
151.241	0.0	2581823	TRIAL	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	1	R1068J
151.241	10.428	2581823	COUNTDOWN_START	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	1	R1068J
161.669	0.005	2592251	COUNTDOWN_END	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	1	R1068J
161.674	2.368	2592256	ORIENT	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	1	R1068J
164.042	2.567	2594624	WORD	n/a	wordpools/wordpool_EN.txt	MAIL	1	1	[0, 0, 0]	n/a	FR1	1	R1068J
166.609	2.417	2597191	WORD	n/a	wordpools/wordpool_EN.txt	BANK	2	1	[0, 0, 0]	n/a	FR1	1	R1068J
