onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	147.314	14908	INSTRUCT_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	1	R1449T
147.314	40.167	162220	INSTRUCT_END	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	1	R1449T
187.481	10.35	202382	COUNTDOWN_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	1	R1449T
197.831	0.0	212727	COUNTDOWN_END	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	1	R1449T
197.831	2.134	212727	ENCODING_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	1	R1449T
199.965	1.6	214867	WORD	n/a	n/a	HEDGE	1	-1	[0, 0, 0]	n/a	FR1	1	R1449T
201.565	0.949	216468	WORD_OFF	n/a	n/a	HEDGE	1	-1	[0, 0, 0]	n/a	FR1	1	R1449T
202.514	1.601	217417	WORD	n/a	n/a	POND	2	-1	[0, 0, 0]	n/a	FR1	1	R1449T
204.115	0.966	219019	WORD_OFF	n/a	n/a	POND	2	-1	[0, 0, 0]	n/a	FR1	1	R1449T
205.081	1.601	219982	WORD	n/a	n/a	PORK	3	-1	[0, 0, 0]	n/a	FR1	1	R1449T
206.682	0.9	221584	WORD_OFF	n/a	n/a	PORK	3	-1	[0, 0, 0]	n/a	FR1	1	R1449T
207.582	1.615	222477	WORD	n/a	n/a	LACE	4	-1	[0, 0, 0]	n/a	FR1	1	R1449T
209.197	0.901	224092	WORD_OFF	n/a	n/a	LACE	4	-1	[0, 0, 0]	n/a	FR1	1	R1449T
210.098	1.6	224999	WORD	n/a	n/a	YARN	5	-1	[0, 0, 0]	n/a	FR1	1	R1449T
211.698	0.833	226600	WORD_OFF	n/a	n/a	YARN	5	-1	[0, 0, 0]	n/a	FR1	1	R1449T
212.531	1.6	227437	WORD	n/a	n/a	CUP	6	-1	[0, 0, 0]	n/a	FR1	1	R1449T
214.131	0.85	229024	WORD_OFF	n/a	n/a	CUP	6	-1	[0, 0, 0]	n/a	FR1	1	R1449T
214.981	1.617	229874	WORD	n/a	n/a	BENCH	7	-1	[0, 0, 0]	n/a	FR1	1	R1449T
216.598	0.967	231490	WORD_OFF	n/a	n/a	BENCH	7	-1	[0, 0, 0]	n/a	FR1	1	R1449T
217.565	1.6	232467	WORD	n/a	n/a	HAT	8	-1	[0, 0, 0]	n/a	FR1	1	R1449T
219.165	0.816	234069	WORD_OFF	n/a	n/a	HAT	8	-1	[0, 0, 0]	n/a	FR1	1	R1449T
219.981	1.617	234877	WORD	n/a	n/a	BEEF	9	-1	[0, 0, 0]	n/a	FR1	1	R1449T
221.598	0.816	236492	WORD_OFF	n/a	n/a	BEEF	9	-1	[0, 0, 0]	n/a	FR1	1	R1449T
222.414	1.601	237314	WORD	n/a	n/a	MAP	10	-1	[0, 0, 0]	n/a	FR1	1	R1449T
224.015	0.966	238915	WORD_OFF	n/a	n/a	MAP	10	-1	[0, 0, 0]	n/a	FR1	1	R1449T
224.981	1.6	239879	WORD	n/a	n/a	JUDGE	11	-1	[0, 0, 0]	n/a	FR1	1	R1449T
226.581	0.983	241480	WORD_OFF	n/a	n/a	JUDGE	11	-1	[0, 0, 0]	n/a	FR1	1	R1449T
227.564	1.601	242458	WORD	n/a	n/a	RAFT	12	-1	[0, 0, 0]	n/a	FR1	1	R1449T
229.165	0.001	244060	WORD_OFF	n/a	n/a	RAFT	12	-1	[0, 0, 0]	n/a	FR1	1	R1449T
