name	x	y	z	size	group	hemisphere	type	ind.region	stein.region
RB1	22.3381	-14.1102	-23.5843424254455	5.024	RB	R	depth	insula	Right DG
RB2	24.6015	-13.7543	-23.7565770931898	5.024	RB	R	depth	insula	Right CA1
RB3	28.5147	-13.2374	-25.6394453128573	5.024	RB	R	depth	fusiform	Right CA1
RB4	32.5684	-13.9315	-27.7412635280524	5.024	RB	R	depth	fusiform	Right PRC
RB5	37.2804	-12.649	-26.4749196101139	5.024	RB	R	depth	fusiform	Right PRC
RB6	40.6629	-10.6193	-25.3644698399572	5.024	RB	R	depth	fusiform	Right PRC
RB7	43.4316	-9.81683	-23.5456793200562	5.024	RB	R	depth	superiortemporal	n/a
RB8	46.4499	-8.65451	-23.0830167689595	5.024	RB	R	depth	superiortemporal	n/a
RB9	50.7077	-7.97791	-22.4853358524798	5.024	RB	R	depth	inferiortemporal	n/a
RB10	55.3964	-8.29708	-23.1058913179895	5.024	RB	R	depth	inferiortemporal	Right MTG
RB11	60.4988	-7.69781	-24.1951131248623	5.024	RB	R	depth	middletemporal	Right MTG
RB12	64.5087	-7.23098	-23.9535778781733	5.024	RB	R	depth	middletemporal	Right MTG
RI1	19.1116	2.89425	-40.5824532864963	5.024	RI	R	depth	entorhinal	Right EC
RI2	20.8821	1.99903	-39.5437474546952	5.024	RI	R	depth	entorhinal	Right EC
RI3	23.2579	1.36493	-38.5273905905575	5.024	RI	R	depth	entorhinal	Right EC
RI4	26.9081	0.655613	-37.8934539443746	5.024	RI	R	depth	fusiform	n/a
RI5	33.9971	2.20718	-36.2834770716101	5.024	RI	R	depth	fusiform	n/a
RI6	39.6182	3.24212	-33.9178485430376	5.024	RI	R	depth	inferiortemporal	n/a
RI7	42.029	1.9116	-30.6332074682792	5.024	RI	R	depth	middletemporal	n/a
RI8	46.2617	1.97028	-30.5400388956738	5.024	RI	R	depth	middletemporal	n/a
RI9	49.6216	1.0994	-28.6626495102597	5.024	RI	R	depth	middletemporal	n/a
RI10	53.642	0.574464	-26.9728802382544	5.024	RI	R	depth	middletemporal	n/a
RI11	55.5117	0.41193	-23.9804540547648	5.024	RI	R	depth	middletemporal	n/a
RI12	58.5786	0.46338	-21.762330837391	5.024	RI	R	depth	middletemporal	Right MTG
RI13	61.8758	0.0994492	-21.1186202298195	5.024	RI	R	depth	middletemporal	Right MTG
RI14	64.9201	-1.008	-19.0888430983631	5.024	RI	R	depth	middletemporal	n/a
RT1	46.5006	-7.59644	-1.27951388052268	5.024	RT	R	depth	insula	n/a
RT2	48.558	-8.32214	-1.27958687438992	5.024	RT	R	depth	superiortemporal	n/a
RT3	52.8016	-8.7273	-1.37603925107071	5.024	RT	R	depth	superiortemporal	n/a
RT4	56.556	-8.90912	-2.11122039308514	5.024	RT	R	depth	superiortemporal	n/a
RT5	60.0659	-9.14741	-1.76488164953578	5.024	RT	R	depth	superiortemporal	n/a
RT6	62.8609	-9.47812	-1.43831123408896	5.024	RT	R	depth	superiortemporal	n/a
RT7	66.459	-8.70544	-1.07591252556642	5.024	RT	R	depth	superiortemporal	n/a
RT8	70.6108	-9.08284	-1.34682006400311	5.024	RT	R	depth	superiortemporal	n/a
RT9	76.0015	-8.86031	-1.73210293039244	5.024	RT	R	depth	superiortemporal	n/a
RT10	81.1827	-8.5727	-1.95991546913179	5.024	RT	R	depth	superiortemporal	n/a
RC1	28.4337	-29.7787	-10.7883688255392	5.024	RC	R	depth	insula	Right DG
RC2	30.9743	-30.2977	-11.1905795934389	5.024	RC	R	depth	insula	Right DG
RC3	35.2302	-30.7685	-10.4298974945167	5.024	RC	R	depth	insula	n/a
RC4	38.3336	-30.378	-9.8394010999651	5.024	RC	R	depth	insula	n/a
RC5	41.6834	-30.2902	-9.57530455521177	5.024	RC	R	depth	insula	n/a
RC6	45.8546	-30.8177	-9.64558559834085	5.024	RC	R	depth	insula	n/a
RC7	50.2556	-32.0422	-10.530626095512	5.024	RC	R	depth	middletemporal	n/a
