onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	31.505	26228	SESS_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	3	R1111M
31.505	10.428	41979	COUNTDOWN_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	3	R1111M
41.933	3.957	47193	COUNTDOWN_END	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	3	R1111M
45.89	2.568	49171	PRACTICE_WORD	n/a	n/a	FLOOD	1	-1	[0, 0, 0]	n/a	FR1	3	R1111M
48.458	2.533	50455	PRACTICE_WORD	n/a	n/a	TONGUE	2	-1	[0, 0, 0]	n/a	FR1	3	R1111M
50.991	2.518	51722	PRACTICE_WORD	n/a	n/a	RING	3	-1	[0, 0, 0]	n/a	FR1	3	R1111M
53.509	2.466	52981	PRACTICE_WORD	n/a	n/a	WAGON	4	-1	[0, 0, 0]	n/a	FR1	3	R1111M
55.975	2.602	54213	PRACTICE_WORD	n/a	n/a	ATTIC	5	-1	[0, 0, 0]	n/a	FR1	3	R1111M
58.577	2.55	55514	PRACTICE_WORD	n/a	n/a	CHEST	6	-1	[0, 0, 0]	n/a	FR1	3	R1111M
61.127	2.533	56789	PRACTICE_WORD	n/a	n/a	IRON	7	-1	[0, 0, 0]	n/a	FR1	3	R1111M
63.66	2.535	58056	PRACTICE_WORD	n/a	n/a	WATCH	8	-1	[0, 0, 0]	n/a	FR1	3	R1111M
66.195	2.433	59323	PRACTICE_WORD	n/a	n/a	COTTON	9	-1	[0, 0, 0]	n/a	FR1	3	R1111M
68.628	2.518	60540	PRACTICE_WORD	n/a	n/a	RHINO	10	-1	[0, 0, 0]	n/a	FR1	3	R1111M
71.146	2.616	61799	PRACTICE_WORD	n/a	n/a	BEAM	11	-1	[0, 0, 0]	n/a	FR1	3	R1111M
73.762	1.618	63106	PRACTICE_WORD	n/a	n/a	CAMEL	12	-1	[0, 0, 0]	n/a	FR1	3	R1111M
75.38	0.001	63915	PRACTICE_DISTRACT_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	3	R1111M
75.381	0.016	63916	START	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	FR1	3	R1111M
75.397	5.968	63924	PROB	5.968	n/a	n/a	-999	-1	[5, 2, 5]	12	FR1	3	R1111M
81.365	3.05	66908	PROB	3.05	n/a	n/a	-999	-1	[3, 9, 1]	11	FR1	3	R1111M
84.415	4.2	68433	PROB	4.2	n/a	n/a	-999	-1	[9, 4, 4]	19	FR1	3	R1111M
88.615	2.935	70533	PROB	2.935	n/a	n/a	-999	-1	[7, 4, 2]	13	FR1	3	R1111M
91.55	9.084	72000	PROB	9.084	n/a	n/a	-999	-1	[2, 1, 4]	7	FR1	3	R1111M
100.634	0.017	76542	STOP	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	FR1	3	R1111M
100.651	0.586	76550	PRACTICE_DISTRACT_END	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	3	R1111M
101.237	30.514	76843	PRACTICE_REC_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	3	R1111M
131.751	3.607	92099	PRACTICE_REC_END	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	3	R1111M
135.358	0.0	93903	TRIAL	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
135.358	10.428	93903	COUNTDOWN_START	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
145.786	0.007	99116	COUNTDOWN_END	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
145.793	2.468	99120	ORIENT	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
148.261	2.483	100354	WORD	n/a	wordpools/wordpool_EN.txt	HAND	1	1	[0, 0, 0]	n/a	FR1	3	R1111M
150.744	2.601	101595	WORD	n/a	wordpools/wordpool_EN.txt	ROOF	2	1	[0, 0, 0]	n/a	FR1	3	R1111M
153.345	2.6	102896	WORD	n/a	wordpools/wordpool_EN.txt	GLASS	3	1	[0, 0, 0]	n/a	FR1	3	R1111M
155.945	2.601	104196	WORD	n/a	wordpools/wordpool_EN.txt	PIPE	4	1	[0, 0, 0]	n/a	FR1	3	R1111M
158.546	2.534	105496	WORD	n/a	wordpools/wordpool_EN.txt	BROOM	5	1	[0, 0, 0]	n/a	FR1	3	R1111M
161.08	2.45	106763	WORD	n/a	wordpools/wordpool_EN.txt	ROPE	6	1	[0, 0, 0]	n/a	FR1	3	R1111M
163.53	2.45	107988	WORD	n/a	wordpools/wordpool_EN.txt	ELF	7	1	[0, 0, 0]	n/a	FR1	3	R1111M
165.98	2.551	109213	WORD	n/a	wordpools/wordpool_EN.txt	MAT	8	1	[0, 0, 0]	n/a	FR1	3	R1111M
168.531	2.551	110488	WORD	n/a	wordpools/wordpool_EN.txt	TRAY	9	1	[0, 0, 0]	n/a	FR1	3	R1111M
171.082	2.599	111764	WORD	n/a	wordpools/wordpool_EN.txt	ROOM	10	1	[0, 0, 0]	n/a	FR1	3	R1111M
173.681	2.552	113063	WORD	n/a	wordpools/wordpool_EN.txt	STORM	11	1	[0, 0, 0]	n/a	FR1	3	R1111M
176.233	1.616	114339	WORD	n/a	wordpools/wordpool_EN.txt	WALL	12	1	[0, 0, 0]	n/a	FR1	3	R1111M
177.849	0.001	115147	DISTRACT_START	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
177.85	0.016	115148	START	n/a	n/a	n/a	-999	1	[-999, -999, -999]	n/a	FR1	3	R1111M
177.866	5.568	115156	PROB	5.568	n/a	n/a	-999	1	[8, 5, 5]	8	FR1	3	R1111M
183.434	4.383	117939	PROB	4.383	n/a	n/a	-999	1	[6, 7, 4]	17	FR1	3	R1111M
187.817	4.018	120131	PROB	4.018	n/a	n/a	-999	1	[8, 1, 6]	15	FR1	3	R1111M
191.835	7.496	122140	PROB	7.496	n/a	n/a	-999	1	[9, 8, 6]	23	FR1	3	R1111M
199.331	0.006	125887	STOP	n/a	n/a	n/a	-999	1	[-999, -999, -999]	n/a	FR1	3	R1111M
199.337	1.085	125890	DISTRACT_END	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
200.422	1.765	126433	REC_START	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
202.187	0.57	127315	REC_WORD	0.57	n/a	ROOF	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
202.757	0.781	127600	REC_WORD	0.781	n/a	HAND	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
203.538	0.813	127991	REC_WORD	0.813	n/a	PIPE	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
204.351	1.861	128397	REC_WORD	1.861	n/a	GLASS	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
206.212	1.098	129328	REC_WORD	1.098	n/a	ELF	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
207.31	1.379	129877	REC_WORD	1.379	n/a	MAT	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
208.689	2.64	130566	REC_WORD	2.64	n/a	TRAY	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
211.329	1.656	131886	REC_WORD	1.656	n/a	ROOM	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
212.985	1.892	132714	REC_WORD	1.892	n/a	ROPE	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
214.877	1.678	133660	REC_WORD	1.678	n/a	BROOM	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
216.555	13.878	134499	REC_WORD	13.878	n/a	STORM	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
230.433	1.144	141438	REC_END	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	3	R1111M
231.577	0.0	142009	COUNTDOWN_START	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	3	R1111M
231.577	10.428	142009	TRIAL	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	3	R1111M
242.005	0.006	147223	COUNTDOWN_END	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	3	R1111M
242.011	2.485	147226	ORIENT	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	3	R1111M
244.496	2.483	148469	WORD	n/a	wordpools/wordpool_EN.txt	BEAN	1	2	[0, 0, 0]	n/a	FR1	3	R1111M
246.979	2.385	149710	WORD	n/a	wordpools/wordpool_EN.txt	CRANE	2	2	[0, 0, 0]	n/a	FR1	3	R1111M
249.364	2.432	150902	WORD	n/a	wordpools/wordpool_EN.txt	GOAT	3	2	[0, 0, 0]	n/a	FR1	3	R1111M
251.796	2.485	152118	WORD	n/a	wordpools/wordpool_EN.txt	TOY	4	2	[0, 0, 0]	n/a	FR1	3	R1111M
254.281	2.55	153361	WORD	n/a	wordpools/wordpool_EN.txt	TOAD	5	2	[0, 0, 0]	n/a	FR1	3	R1111M
256.831	2.501	154636	WORD	n/a	wordpools/wordpool_EN.txt	TOAST	6	2	[0, 0, 0]	n/a	FR1	3	R1111M
259.332	2.566	155886	WORD	n/a	wordpools/wordpool_EN.txt	JAR	7	2	[0, 0, 0]	n/a	FR1	3	R1111M
