onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	161.866	10683	INSTRUCT_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	3	R1406M
161.866	35.799	172550	INSTRUCT_END	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	3	R1406M
197.665	10.35	208338	COUNTDOWN_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	3	R1406M
208.015	0.0	218697	COUNTDOWN_END	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	3	R1406M
208.015	1.933	218697	ENCODING_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	3	R1406M
209.948	1.616	220624	WORD	n/a	n/a	NAIL	1	-1	[0, 0, 0]	n/a	FR1	3	R1406M
211.564	0.95	222245	WORD_OFF	n/a	n/a	NAIL	1	-1	[0, 0, 0]	n/a	FR1	3	R1406M
212.514	1.601	223180	WORD	n/a	n/a	MOOSE	2	-1	[0, 0, 0]	n/a	FR1	3	R1406M
214.115	0.833	224783	WORD_OFF	n/a	n/a	MOOSE	2	-1	[0, 0, 0]	n/a	FR1	3	R1406M
214.948	1.617	225622	WORD	n/a	n/a	OWL	3	-1	[0, 0, 0]	n/a	FR1	3	R1406M
216.565	0.767	227244	WORD_OFF	n/a	n/a	OWL	3	-1	[0, 0, 0]	n/a	FR1	3	R1406M
217.332	1.6	228007	WORD	n/a	n/a	HILL	4	-1	[0, 0, 0]	n/a	FR1	3	R1406M
218.932	0.816	229609	WORD_OFF	n/a	n/a	HILL	4	-1	[0, 0, 0]	n/a	FR1	3	R1406M
219.748	1.6	230429	WORD	n/a	n/a	BRANCH	5	-1	[0, 0, 0]	n/a	FR1	3	R1406M
221.348	0.834	232013	WORD_OFF	n/a	n/a	BRANCH	5	-1	[0, 0, 0]	n/a	FR1	3	R1406M
222.182	1.617	232852	WORD	n/a	n/a	SHOE	6	-1	[0, 0, 0]	n/a	FR1	3	R1406M
223.799	0.899	234474	WORD_OFF	n/a	n/a	SHOE	6	-1	[0, 0, 0]	n/a	FR1	3	R1406M
224.698	1.617	235370	WORD	n/a	n/a	STONE	7	-1	[0, 0, 0]	n/a	FR1	3	R1406M
226.315	1.0	236992	WORD_OFF	n/a	n/a	STONE	7	-1	[0, 0, 0]	n/a	FR1	3	R1406M
