onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	33.714	4946407	SESS_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	2	R1068J
33.714	10.0	4980120	COUNTDOWN_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	2	R1068J
44.142	3.69	4990548	COUNTDOWN_END	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	2	R1068J
47.832	1.6	4994238	PRACTICE_WORD	n/a	n/a	WAGON	1	-1	[0, 0, 0]	n/a	FR1	2	R1068J
50.249	1.6	4996655	PRACTICE_WORD	n/a	n/a	WATCH	2	-1	[0, 0, 0]	n/a	FR1	2	R1068J
52.816	1.6	4999222	PRACTICE_WORD	n/a	n/a	COTTON	3	-1	[0, 0, 0]	n/a	FR1	2	R1068J
55.233	1.6	5001639	PRACTICE_WORD	n/a	n/a	TONGUE	4	-1	[0, 0, 0]	n/a	FR1	2	R1068J
57.717	1.6	5004123	PRACTICE_WORD	n/a	n/a	BEAM	5	-1	[0, 0, 0]	n/a	FR1	2	R1068J
60.117	1.6	5006523	PRACTICE_WORD	n/a	n/a	FLOOD	6	-1	[0, 0, 0]	n/a	FR1	2	R1068J
62.485	1.6	5008891	PRACTICE_WORD	n/a	n/a	IRON	7	-1	[0, 0, 0]	n/a	FR1	2	R1068J
65.018	1.6	5011424	PRACTICE_WORD	n/a	n/a	CHEST	8	-1	[0, 0, 0]	n/a	FR1	2	R1068J
67.569	1.6	5013974	PRACTICE_WORD	n/a	n/a	ATTIC	9	-1	[0, 0, 0]	n/a	FR1	2	R1068J
70.069	1.6	5016474	PRACTICE_WORD	n/a	n/a	CAMEL	10	-1	[0, 0, 0]	n/a	FR1	2	R1068J
72.67	1.6	5019075	PRACTICE_WORD	n/a	n/a	RHINO	11	-1	[0, 0, 0]	n/a	FR1	2	R1068J
75.103	1.6	5021508	PRACTICE_WORD	n/a	n/a	RING	12	-1	[0, 0, 0]	n/a	FR1	2	R1068J
76.72	0.0	5023125	PRACTICE_DISTRACT_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	2	R1068J
76.72	0.016	5023125	START	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	FR1	2	R1068J
76.736	5.151	5023141	PROB	5.122	n/a	n/a	-999	-1	[9, 1, 7]	17.0	FR1	2	R1068J
81.887	2.668	5028292	PROB	2.637	n/a	n/a	-999	-1	[2, 8, 3]	13.0	FR1	2	R1068J
84.555	2.666	5030960	PROB	2.631	n/a	n/a	-999	-1	[4, 5, 1]	10.0	FR1	2	R1068J
87.221	5.568	5033626	PROB	5.541	n/a	n/a	-999	-1	[7, 6, 6]	19.0	FR1	2	R1068J
92.789	5.438	5039194	PROB	5.438	n/a	n/a	-999	-1	[9, 4, 8]	21.0	FR1	2	R1068J
98.227	0.013	5044632	STOP	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	FR1	2	R1068J
98.24	0.602	5044645	PRACTICE_DISTRACT_END	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	2	R1068J
98.842	30.514	5045247	PRACTICE_REC_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	2	R1068J
129.356	8.022	5075760	PRACTICE_REC_END	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	2	R1068J
137.378	0.0	5083782	TRIAL	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	2	R1068J
137.378	10.0	5083782	COUNTDOWN_START	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	2	R1068J
147.806	0.007	5094210	COUNTDOWN_END	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	2	R1068J
147.813	1.6	5094217	ORIENT	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	2	R1068J
