onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	test	answer	experiment	session	subject
0.0	0.0	9566	INSTRUCT_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	0	R1167M
0.0	11.132	9566	INSTRUCT_END	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	0	R1167M
11.132	0.0	20698	SESS_START	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	0	R1167M
11.132	22.5	20698	MIC_TEST	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	FR1	0	R1167M
33.632	10.776	43196	PRACTICE_TRIAL	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
44.408	10.428	53972	COUNTDOWN_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
54.836	0.007	64399	COUNTDOWN_END	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
54.843	1.618	64406	PRACTICE_ORIENT	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
56.461	2.084	66024	PRACTICE_ORIENT_OFF	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
58.545	1.617	68108	PRACTICE_WORD	n/a	n/a	WATCH	1	-1	[0, 0, 0]	n/a	FR1	0	R1167M
60.162	0.849	69725	PRACTICE_WORD_OFF	n/a	n/a	WATCH	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
61.011	1.618	70574	PRACTICE_WORD	n/a	n/a	FLOOD	2	-1	[0, 0, 0]	n/a	FR1	0	R1167M
62.629	0.951	72192	PRACTICE_WORD_OFF	n/a	n/a	FLOOD	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
63.58	1.617	73143	PRACTICE_WORD	n/a	n/a	ATTIC	3	-1	[0, 0, 0]	n/a	FR1	0	R1167M
65.197	0.882	74759	PRACTICE_WORD_OFF	n/a	n/a	ATTIC	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
66.079	1.618	75641	PRACTICE_WORD	n/a	n/a	WAGON	4	-1	[0, 0, 0]	n/a	FR1	0	R1167M
67.697	0.95	77259	PRACTICE_WORD_OFF	n/a	n/a	WAGON	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
68.647	1.617	78209	PRACTICE_WORD	n/a	n/a	IRON	5	-1	[0, 0, 0]	n/a	FR1	0	R1167M
70.264	0.934	79826	PRACTICE_WORD_OFF	n/a	n/a	IRON	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
71.198	1.616	80760	PRACTICE_WORD	n/a	n/a	CAMEL	6	-1	[0, 0, 0]	n/a	FR1	0	R1167M
72.814	0.817	82376	PRACTICE_WORD_OFF	n/a	n/a	CAMEL	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
73.631	1.617	83193	PRACTICE_WORD	n/a	n/a	RHINO	7	-1	[0, 0, 0]	n/a	FR1	0	R1167M
75.248	0.984	84810	PRACTICE_WORD_OFF	n/a	n/a	RHINO	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
76.232	1.616	85794	PRACTICE_WORD	n/a	n/a	RING	8	-1	[0, 0, 0]	n/a	FR1	0	R1167M
77.848	0.967	87410	PRACTICE_WORD_OFF	n/a	n/a	RING	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
78.815	1.618	88377	PRACTICE_WORD	n/a	n/a	CHEST	9	-1	[0, 0, 0]	n/a	FR1	0	R1167M
80.433	0.783	89995	PRACTICE_WORD_OFF	n/a	n/a	CHEST	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
81.216	1.616	90778	PRACTICE_WORD	n/a	n/a	BEAM	10	-1	[0, 0, 0]	n/a	FR1	0	R1167M
82.832	0.768	92393	PRACTICE_WORD_OFF	n/a	n/a	BEAM	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
83.6	1.617	93161	PRACTICE_WORD	n/a	n/a	COTTON	11	-1	[0, 0, 0]	n/a	FR1	0	R1167M
85.217	0.967	94778	PRACTICE_WORD_OFF	n/a	n/a	COTTON	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
86.184	1.616	95745	PRACTICE_WORD	n/a	n/a	TONGUE	12	-1	[0, 0, 0]	n/a	FR1	0	R1167M
87.8	0.0	97361	PRACTICE_WORD_OFF	n/a	n/a	TONGUE	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
87.8	0.001	97361	DISTRACT_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
87.801	0.016	97362	START	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	FR1	0	R1167M
87.817	6.685	97378	PROB	6.685	n/a	n/a	-999	-1	[2, 1, 9]	12	FR1	0	R1167M
94.502	3.984	104063	PROB	3.984	n/a	n/a	-999	-1	[3, 3, 1]	7	FR1	0	R1167M
98.486	3.951	108047	PROB	3.951	n/a	n/a	-999	-1	[2, 3, 2]	7	FR1	0	R1167M
102.437	4.533	111997	PROB	4.533	n/a	n/a	-999	-1	[9, 1, 5]	15	FR1	0	R1167M
106.97	5.669	116530	PROB	5.669	n/a	n/a	-999	-1	[4, 7, 4]	15	FR1	0	R1167M
112.639	0.017	122199	STOP	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	FR1	0	R1167M
112.656	0.7	122216	DISTRACT_END	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
113.356	0.52	122916	RETRIEVAL_ORIENT	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
113.876	30.01	123436	PRACTICE_REC_START	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
143.886	23.347	153444	PRACTICE_REC_END	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	FR1	0	R1167M
167.233	0.5	176790	TRIAL	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
167.733	10.428	177290	COUNTDOWN_START	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
178.161	0.007	187717	COUNTDOWN_END	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
178.168	1.616	187724	ORIENT	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
179.784	2.084	189340	ORIENT_OFF	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
181.868	1.601	191424	WORD	n/a	wordpools/wordpool_EN.txt	ROOT	1	1	[0, 0, 0]	n/a	FR1	0	R1167M
183.469	0.9	193025	WORD_OFF	n/a	n/a	ROOT	1	1	[0, 0, 0]	n/a	FR1	0	R1167M
184.369	1.617	193925	WORD	n/a	wordpools/wordpool_EN.txt	SEED	2	1	[0, 0, 0]	n/a	FR1	0	R1167M
185.986	1.0	195542	WORD_OFF	n/a	n/a	SEED	2	1	[0, 0, 0]	n/a	FR1	0	R1167M
186.986	1.601	196542	WORD	n/a	wordpools/wordpool_EN.txt	MILK	3	1	[0, 0, 0]	n/a	FR1	0	R1167M
188.587	0.867	198142	WORD_OFF	n/a	n/a	MILK	3	1	[0, 0, 0]	n/a	FR1	0	R1167M
189.454	1.616	199009	WORD	n/a	wordpools/wordpool_EN.txt	SHRIMP	4	1	[0, 0, 0]	n/a	FR1	0	R1167M
191.07	0.767	200625	WORD_OFF	n/a	n/a	SHRIMP	4	1	[0, 0, 0]	n/a	FR1	0	R1167M
191.837	1.601	201392	WORD	n/a	wordpools/wordpool_EN.txt	STAIR	5	1	[0, 0, 0]	n/a	FR1	0	R1167M
193.438	0.817	202993	WORD_OFF	n/a	n/a	STAIR	5	1	[0, 0, 0]	n/a	FR1	0	R1167M
194.255	1.616	203810	WORD	n/a	wordpools/wordpool_EN.txt	MAP	6	1	[0, 0, 0]	n/a	FR1	0	R1167M
195.871	0.917	205426	WORD_OFF	n/a	n/a	MAP	6	1	[0, 0, 0]	n/a	FR1	0	R1167M
196.788	1.618	206343	WORD	n/a	wordpools/wordpool_EN.txt	CORN	7	1	[0, 0, 0]	n/a	FR1	0	R1167M
198.406	0.95	207961	WORD_OFF	n/a	n/a	CORN	7	1	[0, 0, 0]	n/a	FR1	0	R1167M
199.356	1.616	208911	WORD	n/a	wordpools/wordpool_EN.txt	ANT	8	1	[0, 0, 0]	n/a	FR1	0	R1167M
200.972	0.8	210527	WORD_OFF	n/a	n/a	ANT	8	1	[0, 0, 0]	n/a	FR1	0	R1167M
201.772	1.618	211327	WORD	n/a	wordpools/wordpool_EN.txt	SHELL	9	1	[0, 0, 0]	n/a	FR1	0	R1167M
203.39	0.984	212945	WORD_OFF	n/a	n/a	SHELL	9	1	[0, 0, 0]	n/a	FR1	0	R1167M
204.374	1.615	213929	WORD	n/a	wordpools/wordpool_EN.txt	LEAF	10	1	[0, 0, 0]	n/a	FR1	0	R1167M
205.989	0.967	215543	WORD_OFF	n/a	n/a	LEAF	10	1	[0, 0, 0]	n/a	FR1	0	R1167M
206.956	1.618	216510	WORD	n/a	wordpools/wordpool_EN.txt	SNAIL	11	1	[0, 0, 0]	n/a	FR1	0	R1167M
208.574	0.917	218128	WORD_OFF	n/a	n/a	SNAIL	11	1	[0, 0, 0]	n/a	FR1	0	R1167M
209.491	1.616	219045	WORD	n/a	wordpools/wordpool_EN.txt	HOOF	12	1	[0, 0, 0]	n/a	FR1	0	R1167M
211.107	0.0	220661	WORD_OFF	n/a	n/a	HOOF	12	1	[0, 0, 0]	n/a	FR1	0	R1167M
211.107	0.001	220661	DISTRACT_START	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
211.108	0.016	220662	START	n/a	n/a	n/a	-999	1	[-999, -999, -999]	n/a	FR1	0	R1167M
211.124	4.651	220678	PROB	4.651	n/a	n/a	-999	1	[4, 8, 7]	19	FR1	0	R1167M
215.775	4.317	225329	PROB	4.317	n/a	n/a	-999	1	[7, 6, 1]	14	FR1	0	R1167M
220.092	3.684	229646	PROB	3.684	n/a	n/a	-999	1	[6, 7, 9]	22	FR1	0	R1167M
223.776	3.084	233329	PROB	3.084	n/a	n/a	-999	1	[1, 2, 3]	6	FR1	0	R1167M
226.86	4.788	236413	PROB	4.788	n/a	n/a	-999	1	[3, 5, 2]	10	FR1	0	R1167M
231.648	0.014	241201	STOP	n/a	n/a	n/a	-999	1	[-999, -999, -999]	n/a	FR1	0	R1167M
231.662	0.633	241215	DISTRACT_END	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
232.295	0.517	241848	RETRIEVAL_ORIENT	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
232.812	1.556	242365	REC_START	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
234.368	1.354	243921	REC_WORD	1.354	n/a	ROOT	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
235.722	1.286	245275	REC_WORD	1.286	n/a	LEAF	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
237.008	1.934	246561	REC_WORD	1.934	n/a	SHELL	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
238.942	23.882	248495	REC_WORD	23.882	n/a	SHRIMP	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
262.824	5.862	272375	REC_END	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	FR1	0	R1167M
268.686	0.5	278237	TRIAL	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
269.186	10.428	278737	COUNTDOWN_START	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
279.614	0.007	289164	COUNTDOWN_END	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
279.621	1.617	289171	ORIENT	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
281.238	1.984	290788	ORIENT_OFF	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
283.222	1.616	292772	WORD	n/a	wordpools/wordpool_EN.txt	TOAST	1	2	[0, 0, 0]	n/a	FR1	0	R1167M
284.838	0.934	294388	WORD_OFF	n/a	n/a	TOAST	1	2	[0, 0, 0]	n/a	FR1	0	R1167M
285.772	1.618	295322	WORD	n/a	wordpools/wordpool_EN.txt	FRUIT	2	2	[0, 0, 0]	n/a	FR1	0	R1167M
287.39	0.833	296940	WORD_OFF	n/a	n/a	FRUIT	2	2	[0, 0, 0]	n/a	FR1	0	R1167M
288.223	1.616	297773	WORD	n/a	wordpools/wordpool_EN.txt	LIP	3	2	[0, 0, 0]	n/a	FR1	0	R1167M
289.839	0.9	299389	WORD_OFF	n/a	n/a	LIP	3	2	[0, 0, 0]	n/a	FR1	0	R1167M
290.739	1.618	300289	WORD	n/a	wordpools/wordpool_EN.txt	PIN	4	2	[0, 0, 0]	n/a	FR1	0	R1167M
292.357	0.934	301907	WORD_OFF	n/a	n/a	PIN	4	2	[0, 0, 0]	n/a	FR1	0	R1167M
293.291	1.616	302841	WORD	n/a	wordpools/wordpool_EN.txt	GLASS	5	2	[0, 0, 0]	n/a	FR1	0	R1167M
294.907	0.967	304456	WORD_OFF	n/a	n/a	GLASS	5	2	[0, 0, 0]	n/a	FR1	0	R1167M
295.874	1.618	305423	WORD	n/a	wordpools/wordpool_EN.txt	FOOT	6	2	[0, 0, 0]	n/a	FR1	0	R1167M
297.492	0.983	307041	WORD_OFF	n/a	n/a	FOOT	6	2	[0, 0, 0]	n/a	FR1	0	R1167M
298.475	1.616	308024	WORD	n/a	wordpools/wordpool_EN.txt	ELF	7	2	[0, 0, 0]	n/a	FR1	0	R1167M
300.091	0.9	309640	WORD_OFF	n/a	n/a	ELF	7	2	[0, 0, 0]	n/a	FR1	0	R1167M
300.991	1.601	310540	WORD	n/a	wordpools/wordpool_EN.txt	CHAIR	8	2	[0, 0, 0]	n/a	FR1	0	R1167M
302.592	0.884	312141	WORD_OFF	n/a	n/a	CHAIR	8	2	[0, 0, 0]	n/a	FR1	0	R1167M
303.476	1.616	313025	WORD	n/a	wordpools/wordpool_EN.txt	PLATE	9	2	[0, 0, 0]	n/a	FR1	0	R1167M
305.092	0.833	314641	WORD_OFF	n/a	n/a	PLATE	9	2	[0, 0, 0]	n/a	FR1	0	R1167M
305.925	1.602	315474	WORD	n/a	wordpools/wordpool_EN.txt	CUP	10	2	[0, 0, 0]	n/a	FR1	0	R1167M
307.527	0.867	317076	WORD_OFF	n/a	n/a	CUP	10	2	[0, 0, 0]	n/a	FR1	0	R1167M
308.394	1.616	317943	WORD	n/a	wordpools/wordpool_EN.txt	STOOL	11	2	[0, 0, 0]	n/a	FR1	0	R1167M
310.01	0.766	319559	WORD_OFF	n/a	n/a	STOOL	11	2	[0, 0, 0]	n/a	FR1	0	R1167M
310.776	1.601	320325	WORD	n/a	wordpools/wordpool_EN.txt	CHIN	12	2	[0, 0, 0]	n/a	FR1	0	R1167M
312.377	0.0	321925	DISTRACT_START	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
312.377	0.001	321925	WORD_OFF	n/a	n/a	CHIN	12	2	[0, 0, 0]	n/a	FR1	0	R1167M
312.378	0.016	321926	START	n/a	n/a	n/a	-999	2	[-999, -999, -999]	n/a	FR1	0	R1167M
312.394	4.318	321942	PROB	4.318	n/a	n/a	-999	2	[4, 2, 7]	13	FR1	0	R1167M
316.712	4.534	326260	PROB	4.534	n/a	n/a	-999	2	[5, 6, 6]	17	FR1	0	R1167M
321.246	4.018	330794	PROB	4.018	n/a	n/a	-999	2	[6, 3, 8]	17	FR1	0	R1167M
325.264	3.666	334812	PROB	3.666	n/a	n/a	-999	2	[6, 1, 4]	11	FR1	0	R1167M
328.93	4.39	338478	PROB	4.39	n/a	n/a	-999	2	[6, 6, 3]	15	FR1	0	R1167M
333.32	0.012	342867	STOP	n/a	n/a	n/a	-999	2	[-999, -999, -999]	n/a	FR1	0	R1167M
333.332	0.599	342879	DISTRACT_END	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
333.931	0.518	343478	RETRIEVAL_ORIENT	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
334.449	1.181	343996	REC_START	n/a	n/a	n/a	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
335.63	1.382	345177	REC_WORD	1.382	n/a	LIP	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
337.012	1.285	346559	REC_WORD	1.285	n/a	CHAIR	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
338.297	1.23	347844	REC_WORD	1.23	n/a	CUP	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
339.527	2.645	349074	REC_WORD	2.645	n/a	PIN	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
342.172	1.673	351719	REC_WORD	1.673	n/a	PLATE	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
343.845	2.298	353392	REC_WORD	2.298	n/a	TOAST	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
346.143	16.002	355690	REC_WORD	16.002	n/a	FRUIT	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
362.145	1.41	371691	REC_WORD	1.41	n/a	LIP	-999	2	[0, 0, 0]	n/a	FR1	0	R1167M
