name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region
L9ST1	-40.988	-50.1327	17.1777779933569	-999	L9ST	L	depth	-38.5869	-50.966	18.1553	Left Cerebral White Matter	inferiorparietal	n/a
L9ST2	-43.2539	-50.1081	16.6104739037029	-999	L9ST	L	depth	-40.5248	-51.0904	18.1246	Left Cerebral White Matter	inferiorparietal	n/a
L9ST3	-47.1805	-49.5102	16.7334676859411	-999	L9ST	L	depth	-44.4714	-50.2989	18.9876	Left Cerebral White Matter	inferiorparietal	n/a
L9ST4	-51.0485	-49.6153	16.0445144773256	-999	L9ST	L	depth	-48.347	-50.5479	18.9263	Left STG superior temporal gyrus	inferiorparietal	n/a
L9ST5	-53.9666	-49.9348	15.5186265140884	-999	L9ST	L	depth	-51.2538	-50.7345	18.8803	Left Cerebral White Matter	inferiorparietal	n/a
L9ST6	-58.3448	-48.9618	15.9717250677662	-999	L9ST	L	depth	-55.6849	-49.9742	19.7356	Left Cerebral White Matter	supramarginal	n/a
L9ST7	-61.13	-49.2853	15.3668688188591	-999	L9ST	L	depth	-58.5917	-50.1609	19.6896	Left Cerebral White Matter	supramarginal	n/a
L9ST8	-64.901	-49.2799	15.4878594452324	-999	L9ST	L	depth	-62.5383	-49.3694	20.5525	Left SMG supramarginal gyrus	superiortemporal	n/a
L7ST1	-40.8357	-44.899	8.68294205878676	-999	L7ST	L	depth	-39.0426	-45.5028	11.2722	Left Cerebral White Matter	bankssts	n/a
L7ST2	-43.5166	-43.8753	9.61960290771562	-999	L7ST	L	depth	-41.9499	-45.5855	12.2575	Left Cerebral White Matter	bankssts	n/a
L7ST3	-47.8509	-43.768	9.70616709179063	-999	L7ST	L	depth	-45.826	-45.7304	13.2275	Left Cerebral White Matter	inferiorparietal	n/a
L7ST4	-51.0804	-44.0111	8.88288350182107	-999	L7ST	L	depth	-48.8036	-44.8768	14.1059	Left MTG middle temporal gyrus	bankssts	n/a
