name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region
OF1	-20.0149	71.3004	-14.1241117643902	-999	OF	L	depth	-14.6346	42.7992	-21.2399	Left MOrG medial orbital gyrus	lateralorbitofrontal	n/a
OF2	-22.664	72.4942	-7.96524850885077	-999	OF	L	depth	-17.5969	44.5086	-15.5276	Left MOrG medial orbital gyrus	lateralorbitofrontal	n/a
OF3	-24.2912	72.885	-3.6444834419498	-999	OF	L	depth	-19.6142	44.8775	-11.6915	Left Cerebral White Matter	rostralmiddlefrontal	n/a
OF4	-25.8952	73.4563	2.00183947701172	-999	OF	L	depth	-21.8162	45.3201	-6.85127	Left Cerebral White Matter	rostralmiddlefrontal	n/a
OFAL1	-37.733	69.2313	-4.14277405316953	-999	OFAL	L	depth	-36.7371	43.6698	-11.94	Left MFG middle frontal gyrus	rostralmiddlefrontal	n/a
OFAL2	-38.8959	73.2463	2.43568477923951	-999	OFAL	L	depth	-37.7171	46.4249	-5.99937	Left MFG middle frontal gyrus	rostralmiddlefrontal	n/a
OFAL3	-39.6995	76.321	7.02152689039309	-999	OFAL	L	depth	-38.3278	49.0344	-2.02996	Left MFG middle frontal gyrus	rostralmiddlefrontal	n/a
OFAL4	-39.6158	77.3871	12.8776448216457	-999	OFAL	L	depth	-37.9401	49.9327	3.64557	Left MFG middle frontal gyrus	rostralmiddlefrontal	n/a
AMFGA1	-39.8368	67.2791	14.5332637876714	-999	AMFGA	L	depth	-38.2447	39.6472	6.3055	Left MFG middle frontal gyrus	rostralmiddlefrontal	n/a
AMFGA2	-44.9655	67.7378	16.097959982681	-999	AMFGA	L	depth	-44.369	40.1319	7.61955	Left MFG middle frontal gyrus	rostralmiddlefrontal	n/a
AMFGA3	-50.1481	68.3056	16.6246412414788	-999	AMFGA	L	depth	-50.3088	40.538	7.83394	n/a	rostralmiddlefrontal	n/a
AMFGA4	-55.5498	68.9856	17.2113460697712	-999	AMFGA	L	depth	-56.2485	40.9441	8.04833	n/a	rostralmiddlefrontal	n/a
AMFGB1	-39.5896	55.7195	17.7369326645687	-999	AMFGB	L	depth	-35.6075	24.5547	9.61828	Left Cerebral White Matter	rostralmiddlefrontal	n/a
AMFGB2	-44.106	53.0939	16.6349125512998	-999	AMFGB	L	depth	-42.8901	23.8773	9.67614	Left MFG middle frontal gyrus	rostralmiddlefrontal	n/a
AMFGB3	-48.4647	53.3467	18.7165242018849	-999	AMFGB	L	depth	-48.3751	24.3256	11.0886	Left MFG middle frontal gyrus	rostralmiddlefrontal	n/a
