name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	stein.region
LE1	-34.075	-8.92294	-21.0335450555818	-999	LE	L	depth	-36.0919	-7.07071	-14.8937	Left Hippocampus	n/a	Left CA1
LE2	-33.8103	-10.9031	-18.9964921229263	-999	LE	L	depth	-35.7385	-8.86619	-13.5437	Left Hippocampus	n/a	Left CA1
LE3	-32.8592	-14.929	-17.3770495524667	-999	LE	L	depth	-35.0865	-12.6638	-11.8603	Left Hippocampus	n/a	Left CA2
LE4	-32.8872	-18.467	-14.2293054207884	-999	LE	L	depth	-35.542	-15.875	-9.17042	Left Hippocampus	n/a	Left CA2
LE5	-32.4974	-21.1662	-12.4888113416904	-999	LE	L	depth	-35.0393	-18.6716	-7.65388	Left Hippocampus	n/a	Left CA2
LE6	-32.1774	-24.0423	-10.8259617901594	-999	LE	L	depth	-34.5365	-21.4682	-6.13729	Left Hippocampus	n/a	Left CA2
LE7	-32.5227	-28.1346	-8.76020357490926	-999	LE	L	depth	-34.9721	-25.3867	-4.38046	Left Hippocampus	n/a	Left CA1
LE8	-32.1019	-31.7873	-6.89859089641064	-999	LE	L	depth	-34.3948	-28.6838	-2.78051	Left Hippocampus	n/a	Left CA1
LE9	-31.7457	-34.7075	-6.34545066995951	-999	LE	L	depth	-33.9469	-31.6872	-2.28044	Left Hippocampus	n/a	Left CA1
LE10	-31.3372	-38.5684	-4.6657580167482	-999	LE	L	depth	-33.2949	-35.4849	-0.597141	Left Lateral Ventricle	n/a	n/a
LE11	-31.9217	-41.5113	-3.94973757760645	-999	LE	L	depth	-33.8798	-38.4023	0.992947	Left Lateral Ventricle	n/a	n/a
LE12	-31.141	-44.4592	-3.15321365139774	-999	LE	L	depth	-33.3024	-41.697	2.64091	Left Cerebral White Matter	fusiform	n/a
LE13	-31.0089	-46.9152	-1.74717459060483	-999	LE	L	depth	-32.7998	-44.4871	4.28836	Left Lateral Ventricle	lingual	n/a
LE14	-31.505	-50.3712	-0.181603677703421	-999	LE	L	depth	-32.1477	-48.2775	6.11352	Left Lateral Ventricle	lingual	n/a
LE15	-31.5495	-53.8912	-0.0885989885036178	-999	LE	L	depth	-31.6252	-51.7797	6.73574	Left Lateral Ventricle	fusiform	n/a
LE16	-32.387	-57.9242	1.92132437422275	-999	LE	L	depth	-32.0608	-55.6908	8.64071	Left Cerebral White Matter	lateraloccipital	n/a
LI1	-39.9814	14.5104	-5.85601158656218	-999	LI	L	depth	-39.9959	19.7317	-4.59027	Left AIns anterior insula	insula	n/a
LI2	-39.3605	12.1611	-5.57814673318381	-999	LI	L	depth	-39.6972	17.7295	-4.25687	Left AIns anterior insula	insula	n/a
LI3	-39.6804	8.37043	-3.23704183962099	-999	LI	L	depth	-39.0452	13.9318	-2.57364	Left Cerebral White Matter	insula	n/a
LI4	-39.7662	4.78096	-2.33363968796672	-999	LI	L	depth	-38.5226	10.4278	-1.99011	Left Cerebral White Matter	insula	n/a
LI5	-40.2301	1.01245	-0.448740495551057	-999	LI	L	depth	-38.9582	6.50965	-0.22457	Left AIns anterior insula	insula	n/a
LI6	-39.4227	-1.48456	1.1138107928606	-999	LI	L	depth	-38.4556	3.71966	1.42288	Left Cerebral White Matter	insula	n/a
LI7	-39.5573	-5.60273	1.78235872116356	-999	LI	L	depth	-38.8714	-0.903407	2.30271	Left PIns posterior insula	insula	n/a
LI8	-38.0781	-8.15538	3.22327988748405	-999	LI	L	depth	-38.3686	-3.69344	3.95004	Left Cerebral White Matter	insula	n/a
LI9	-36.7085	-11.8055	4.07209192691725	-999	LI	L	depth	-37.7714	-7.69583	4.66119	Left Cerebral White Matter	insula	n/a
LI10	-35.8271	-14.5372	6.17652586540062	-999	LI	L	depth	-37.2686	-10.4858	6.30864	Left PIns posterior insula	insula	n/a
LI11	-36.5077	-18.2643	7.41411573671857	-999	LI	L	depth	-37.8336	-14.1083	7.01076	Left PIns posterior insula	transversetemporal	n/a
LI12	-36.3934	-23.5749	9.66400824870922	-999	LI	L	depth	-37.1817	-17.899	8.83583	Left TTG transverse temporal gyrus	insula	n/a
LI13	-35.9912	-27.0493	11.3048085373174	-999	LI	L	depth	-36.679	-20.689	10.4833	Left Cerebral White Matter	transversetemporal	n/a
LI14	-36.7001	-31.3993	11.4272151557604	-999	LI	L	depth	-37.0948	-25.3121	11.3631	Left Cerebral White Matter	insula	n/a
LI15	-35.8553	-34.0417	12.8626918483994	-999	LI	L	depth	-36.5921	-28.1022	13.0106	Left Cerebral White Matter	insula	n/a
LI16	-34.732	-37.2944	13.0219907950598	-999	LI	L	depth	-35.9948	-32.1045	13.7217	Left Cerebral White Matter	superiortemporal	n/a
LA1	-23.4093	0.946538	-17.7781520173155	-999	LA	L	depth	-23.491	3.98357	-12.1466	Left Amygdala	n/a	Left Amy
LA2	-25.3918	-0.407687	-18.540253676891	-999	LA	L	depth	-25.5718	2.53388	-12.8494	Left Amygdala	n/a	Left Amy
LA3	-29.5353	-1.37463	-18.9842587704181	-999	LA	L	depth	-29.9774	1.84372	-13.5719	Left Amygdala	n/a	Left Amy
LA4	-32.1057	-2.88692	-18.40025197137	-999	LA	L	depth	-33.0911	0.480082	-13.1849	Left Cerebral White Matter	n/a	n/a
LA5	-37.1852	-3.40775	-18.0513417662991	-999	LA	L	depth	-38.0406	-0.270418	-13.8707	Left Cerebral White Matter	n/a	n/a
LA6	-39.9253	-4.43118	-18.2827393108071	-999	LA	L	depth	-41.2091	-1.84088	-14.5001	Left Cerebral White Matter	n/a	n/a
LA7	-42.5348	-4.62023	-18.7415654763758	-999	LA	L	depth	-44.5269	-2.41018	-15.2962	Left Cerebral White Matter	n/a	n/a
